name,side-a,side-b,side-c
ipsum,60,97,39
ac,80,52,67
accumsan,58,72,54
congue,82,33,76
montes,92,24,69
orci,70,74,75
ultrices,39,15,6
pede,58,47,49
eros,24,73,42
vivamus,12,90,78
aliquam,32,90,36
natoque,5,99,97
in,21,88,21
sapien,6,57,64
justo,6,87,75
egestas,75,80,36
cubilia,66,88,21
scelerisque,60,65,3
tortor,32,65,5
vestibulum,63,63,16
lectus,11,56,71
sit,26,13,52
magna,72,48,35
condimentum,21,32,82
id,76,37,80
eu,34,43,92
in,56,49,32
turpis,2,57,65
viverra,58,46,7
enim,37,43,7
ultrices,35,15,53
ante,87,88,87
dictumst,12,29,23
dignissim,7,69,16
sem,82,62,33
mauris,37,64,35
pretium,28,16,20
mi,41,11,99
nulla,61,41,33
primis,76,10,97
lobortis,94,53,92
consequat,57,18,89
ultrices,48,42,88
bibendum,78,73,59
justo,97,45,6
nec,48,18,89
dui,85,86,12
donec,40,68,71
montes,27,62,61
congue,71,71,28
sapien,68,93,26
morbi,55,92,20
felis,27,39,87
ipsum,15,50,61
vel,99,93,96
ultrices,51,35,68
pretium,14,44,15
eget,30,18,15
varius,72,3,50
pellentesque,69,9,69
quis,70,4,91
libero,60,78,11
quam,11,18,46
id,62,59,18
in,60,97,91
dui,54,40,82
vestibulum,67,37,40
leo,55,58,66
metus,89,53,34
et,4,63,56
morbi,8,71,76
mauris,77,18,99
risus,51,5,34
donec,53,47,93
primis,88,16,6
elementum,12,83,81
risus,93,23,29
sem,4,30,7
quis,19,45,78
vestibulum,70,75,4
quis,32,15,75
odio,31,8,23
posuere,6,61,13
eros,15,1,40
cursus,94,48,74
lectus,87,59,29
lectus,35,10,97
consequat,83,93,2
mauris,82,70,89
felis,39,88,75
ut,57,64,6
quisque,78,87,44
mauris,76,44,88
id,47,4,57
est,12,69,95
nullam,23,51,37
fusce,83,38,87
volutpat,23,93,21
nec,63,91,74
etiam,27,77,58
varius,72,76,53
sed,66,24,24
imperdiet,37,36,4
tincidunt,88,85,29
ante,89,24,57
leo,32,68,56
vulputate,74,55,50
in,64,25,8
enim,48,49,46
at,48,12,55
lorem,42,33,47
lorem,24,79,34
tortor,12,46,40
penatibus,28,57,49
vel,92,83,75
porttitor,22,89,58
id,87,51,35
venenatis,7,12,32
amet,13,54,91
sit,54,59,97
imperdiet,67,35,30
ipsum,40,97,15
ipsum,19,62,93
eros,94,5,81
diam,20,24,50
elementum,77,68,60
adipiscing,69,13,86
lorem,15,45,24
erat,48,21,39
auctor,89,97,92
augue,71,89,95
faucibus,22,51,99
curabitur,27,23,26
turpis,68,28,46
odio,2,46,15
cubilia,26,92,51
pharetra,94,91,33
vestibulum,71,40,54
pellentesque,54,24,82
luctus,89,90,83
posuere,82,35,31
amet,93,28,43
nulla,13,54,82
mauris,22,83,62
magnis,13,85,3
tincidunt,12,10,40
sapien,79,54,54
ligula,79,72,57
cum,27,73,37
erat,14,84,69
elit,62,47,37
montes,49,12,2
dapibus,72,17,93
quisque,93,91,98
vivamus,60,53,58
tortor,16,32,12
cubilia,66,40,28
hac,84,86,20
porttitor,32,36,82
enim,99,2,75
in,96,90,93
adipiscing,3,93,36
nec,1,6,42
quis,11,97,6
at,40,33,49
amet,57,44,71
fermentum,16,49,44
orci,8,19,81
felis,91,58,65
in,47,81,47
libero,53,15,5
nulla,71,97,36
eget,47,87,67
erat,76,33,79
enim,55,100,15
accumsan,66,7,37
interdum,71,2,21
dictumst,89,97,75
nulla,35,90,19
vulputate,80,23,14
vestibulum,84,8,31
quam,39,49,85
pellentesque,24,64,41
dolor,83,19,5
nisl,96,11,62
habitasse,7,87,17
platea,42,48,38
magna,73,88,95
faucibus,43,23,43
ligula,57,57,46
eu,55,43,81
in,74,58,79
elit,68,95,77
turpis,4,47,36
tellus,14,95,36
consequat,62,23,67
elementum,22,45,100
eget,23,89,61
congue,20,55,41
quam,43,19,2
lectus,42,77,55
primis,22,57,41
vel,77,24,92
odio,87,97,53
congue,14,51,39
vel,47,62,1
lorem,89,67,3
morbi,51,81,36
convallis,43,7,85
est,84,42,3
diam,73,63,6
amet,27,16,21
ac,51,71,81
in,69,73,93
ullamcorper,56,80,96
pharetra,46,19,67
suscipit,54,91,7
sed,20,80,27
diam,67,46,54
consequat,89,25,65
consequat,21,15,39
felis,87,7,57
in,37,97,7
mi,70,14,21
est,49,43,6
sit,59,20,3
blandit,71,15,16
velit,50,27,37
vivamus,44,73,26
sed,83,2,46
vel,1,45,88
leo,32,90,90
augue,77,8,44
sapien,50,40,24
platea,24,48,98
maecenas,91,99,40
sed,51,43,12
et,78,81,100
erat,27,25,94
ultrices,74,31,89
rhoncus,32,72,2
pede,48,91,17
morbi,54,23,24
erat,23,35,86
libero,25,70,90
blandit,93,1,82
fusce,24,55,5
amet,7,63,36
sem,91,43,11
volutpat,57,77,14
non,43,77,37
posuere,69,57,42
id,40,72,75
suspendisse,85,63,88
rutrum,54,30,22
nisl,54,39,98
vestibulum,77,18,30
molestie,18,20,63
id,49,92,7
aenean,10,65,21
tortor,82,37,17
pellentesque,48,98,16
vel,61,60,44
ipsum,78,84,41
